HS,IRF1,CASP8,3,0
HS,SP1,CASP8,3,0
HS,ATF1,CCK,3,0
HS,CREB1,CCK,3,0
HS,RELA,CCL11,2,0
HS,STAT6,CCL11,3,0
HS,FOS,CCL4,4,0
HS,SP1,CCND3,4,0
HS,E2F1,CCNE1,3,0
HS,WT1,CCNE1,2,0
HS,FOS,CD226,4,0
HS,SP1,CD226,4,0
HS,IRF1,CD274,3,0
HS,STAT3,CD274,5,0
HS,FOS,CD38,4,0
HS,NR3C1,CD38,2,0
HS,TFAP2A,CD82,3,0
HS,TP53,CD82,3,0
HS,SNAI1,CDH5,2,0
HS,SNAI2,CDH5,2,0
HS,CREB1,CDK11A,3,0
HS,ETS1,CDK11A,3,0
HS,SP1,CDK6,3,0
HS,HNF4A,CDX2,3,0
HS,SP1,CEACAM5,2,0
HS,CREB1,CEBPD,2,0
HS,SP1,CEBPD,3,0
HS,SP1,COL11A2,3,0
HS,SP1,CR2,3,0
HS,CREB1,CREB1,3,0
HS,SP1,CREB1,3,0
HS,STAT5A,CSN2,3,0
HS,STAT5B,CSN2,3,0
HS,SP1,CXCL5,2,0
HS,ETS1,CXCR4,3,0
HS,MYC,CXCR4,2,0
HS,ETS1,CYGB,4,0
HS,SP1,CYGB,3,0
HS,SP1,CYP1B1,3,0
HS,HNF4A,CYP2D6,3,0
HS,NFAT5,CYP2E1,1,0
HS,SP1,CYP2F1,3,0
HS,SP1,CYP4B1,3,0
HS,SP1,CYP7B1,2,0
HS,CREB1,CYR61,3,0
HS,SMAD3,CYR61,1,0
HS,IRF7,CYSLTR2,3,0
HS,SNAI1,CYSLTR2,3,0
HS,TP53,DAPK1,3,0
HS,E2F1,DBF4,3,0
HS,SP1,DBF4,3,0
HS,FOSL1,DCN,3,0
HS,JUNB,DCN,3,0
HS,MITF,DCT,1,0
HS,ELK1,DDIT4,3,0
HS,YY1,DEK,2,0
HS,SP1,DLC1,3,0
HS,SRF,DMD,2,0
HS,YY1,DMD,1,0
HS,SP1,DNASE2,3,0
HS,SP1,DNMT1,2,0
HS,TP53,DNMT1,2,0
HS,FOS,DNTT,4,0
HS,JUN,DNTT,3,0
HS,ELK1,DPP3,3,0
HS,ETS1,DPP3,3,0
HS,EGR1,DRG1,3,0
HS,SP1,DRG1,3,0
HS,TP53,DUSP1,2,0
HS,E2F1,DUSP4,1,0
HS,TP53,DUSP4,2,0
HS,SP1,EDNRB,1,0
HS,ELK1,EGR2,3,0
HS,SRF,EGR2,3,0
HS,NFATC1,EGR3,3,0
HS,NFATC2,EGR3,3,0
HS,EGR1,EGR4,2,0
HS,MYC,EIF4E,3,0
HS,STAT3,FAAH,3,0
HS,EGR1,FAP,2,0
HS,SP1,FBLN1,3,0
HS,SMAD2,FBLN5,3,0
HS,SMAD3,FBLN5,3,0
HS,SP1,FCER1G,3,0
HS,HNF1A,FGA,4,0
HS,STAT3,FGG,3,0
HS,NR3C1,FKBP5,3,0
HS,SP1,FLI1,4,0
HS,SP1,FOLR3,3,0
HS,SMAD3,FOXA2,2,0
HS,MYC,FOXM1,3,0
HS,SRF,FXN,3,0
HS,TFAP2A,FXN,3,0
HS,TFAP2A,FXR2,3,0
HS,EGR1,FYN,3,0
HS,SP1,FYN,3,0
HS,SP1,G6PD,4,0
HS,CREB1,GCH1,3,0
HS,SP1,GCH1,5,0
HS,FOS,GJA1,3,0
HS,SP1,GJA1,3,0
HS,EGR2,GJB1,2,0
HS,SP1,GLP1R,2,0
HS,SP1,GLTP,3,0
HS,SP1,GPD2,1,0
HS,ATF1,GSN,3,0
HS,EGR1,GSN,2,0
HS,HNF4A,GUCY2C,3,0
HS,SP1,GYPC,5,0
HS,FOS,GZMB,5,0
HS,SP1,HBEGF,3,0
HS,SP1,HDAC4,4,0
HS,YY1,HIST1H4A,2,0
HS,SP1,HMGA2,3,0
HS,HNF4A,HNF1A,1,0
HS,RXRA,HNF1A,1,0
HS,SP1,HSD17B2,3,0
HS,IRF1,IDO1,5,0
HS,STAT1,IDO1,3,0
HS,RXRA,IER3,3,0
HS,TP53,IER3,2,0
HS,IRF2,IFNGR1,3,0
HS,SP1,IFNGR1,3,0
HS,TP53,IGFBP3,3,0
HS,GLI1,IGFBP6,2,0
HS,IRF1,IL18BP,3,0
HS,STAT3,IL2RG,3,0
HS,STAT1,IL6ST,3,0
HS,STAT3,IL6ST,3,0
HS,IRF1,IL7,3,0
HS,IRF2,IL7,3,0
HS,NR3C1,IL7R,4,0
HS,SP1,INPPL1,3,0
HS,ELK1,INSIG2,2,0
HS,ELK4,INSIG2,2,0
