Species	geneA	geneB	confidence	geneRegType
HS	NKD1	DVL2	1	4
HS	NKD1	DVL3	1	4
HS	NKD2	DVL1	1	4
HS	NKD2	DVL2	1	4
HS	NKD2	DVL3	1	4
HS	TP53	SIAH1	1	3
HS	AXIN1	CSNK1E	1	6
HS	AXIN1	DVL1	1	6
HS	AXIN1	DVL2	1	6
HS	AXIN1	DVL3	1	6
HS	AXIN1	GSK3B	1	6
HS	AXIN1	APC2	1	6
HS	AXIN1	APC	1	6
HS	AXIN1	CTNNB1	1	6
HS	AXIN2	CSNK1E	1	6
HS	AXIN2	DVL1	1	6
HS	AXIN2	DVL2	1	6
HS	AXIN2	DVL3	1	6
HS	AXIN2	GSK3B	1	6
HS	AXIN2	APC2	1	6
HS	AXIN2	APC	1	6
HS	AXIN2	CTNNB1	1	6
HS	CTNNB1	LEF1	1	4
HS	CTNNB1	TCF7	1	4
HS	CTNNB1	TCF7L2	1	4
HS	CTNNB1	TCF7L1	1	4
HS	PRKACA	PSEN1	1	6
HS	PRKACA	GSK3B	1	7
HS	PRKACA	CTNNB1	1	9
HS	PRKACB	PSEN1	1	6
HS	PRKACB	GSK3B	1	7
HS	PRKACB	CTNNB1	1	9
HS	PRKACG	PSEN1	1	6
HS	PRKACG	GSK3B	1	7
HS	PRKACG	CTNNB1	1	9
HS	PSEN1	CTNNB1	1	4
HS	GSK3B	FRAT1	1	6
HS	GSK3B	FRAT2	1	6
HS	GSK3B	CTNNB1	1	7
HS	GSK3B	CTNNB1	1	9
HS	FRAT1	DVL1	1	6
HS	FRAT1	DVL2	1	6
HS	FRAT1	DVL3	1	6
HS	FRAT2	DVL1	1	6
HS	FRAT2	DVL2	1	6
HS	FRAT2	DVL3	1	6
HS	SENP2	DVL1	1	7
HS	SENP2	DVL2	1	7
HS	SENP2	DVL3	1	7
HS	CXXC4	DVL1	1	7
HS	CXXC4	DVL2	1	7
HS	CXXC4	DVL3	1	7
HS	DKK1	LRP6	1	7
HS	DKK1	LRP5	1	7
HS	DKK4	LRP6	1	7
HS	DKK4	LRP5	1	7
HS	DKK2	LRP6	1	7
HS	DKK2	LRP5	1	7
HS	WIF1	WNT16	1	7
HS	WIF1	WNT4	1	7
HS	WIF1	WNT1	1	7
HS	WIF1	WNT2	1	7
HS	WIF1	WNT3	1	7
HS	WIF1	WNT5A	1	7
HS	WIF1	WNT6	1	7
HS	WIF1	WNT7A	1	7
HS	WIF1	WNT7B	1	7
HS	WIF1	WNT8A	1	7
HS	WIF1	WNT8B	1	7
HS	WIF1	WNT10B	1	7
HS	WIF1	WNT11	1	7
HS	WIF1	WNT2B	1	7
HS	WIF1	WNT9A	1	7
HS	WIF1	WNT9B	1	7
HS	WIF1	WNT10A	1	7
HS	WIF1	WNT5B	1	7
HS	WIF1	WNT3A	1	7
HS	CER1	WNT16	1	7
HS	CER1	WNT4	1	7
HS	CER1	WNT1	1	7
HS	CER1	WNT2	1	7
HS	CER1	WNT3	1	7
HS	CER1	WNT5A	1	7
HS	CER1	WNT6	1	7
HS	CER1	WNT7A	1	7
HS	CER1	WNT7B	1	7
HS	CER1	WNT8A	1	7
HS	CER1	WNT8B	1	7
HS	CER1	WNT10B	1	7
HS	CER1	WNT11	1	7
HS	CER1	WNT2B	1	7
HS	CER1	WNT9A	1	7
HS	CER1	WNT9B	1	7
HS	CER1	WNT10A	1	7
HS	CER1	WNT5B	1	7
HS	CER1	WNT3A	1	7
HS	LRP6	FZD10	1	6
HS	LRP6	FZD2	1	6
HS	LRP6	FZD5	1	6
HS	LRP6	FZD3	1	6
HS	LRP6	FZD1	1	6
HS	LRP6	FZD4	1	6
HS	LRP6	FZD6	1	6
HS	LRP6	FZD7	1	6
HS	LRP6	FZD8	1	6
HS	LRP6	FZD9	1	6
HS	LRP5	FZD10	1	6
HS	LRP5	FZD2	1	6
HS	LRP5	FZD5	1	6
HS	LRP5	FZD3	1	6
HS	LRP5	FZD1	1	6
HS	LRP5	FZD4	1	6
HS	LRP5	FZD6	1	6
HS	LRP5	FZD7	1	6
HS	LRP5	FZD8	1	6
HS	LRP5	FZD9	1	6
HS	SFRP1	WNT16	1	7
HS	SFRP1	WNT4	1	7
HS	SFRP1	WNT1	1	7
HS	SFRP1	WNT2	1	7
HS	SFRP1	WNT3	1	7
HS	SFRP1	WNT5A	1	7
HS	SFRP1	WNT6	1	7
HS	SFRP1	WNT7A	1	7
HS	SFRP1	WNT7B	1	7
HS	SFRP1	WNT8A	1	7
HS	SFRP1	WNT8B	1	7
HS	SFRP1	WNT10B	1	7
HS	SFRP1	WNT11	1	7
HS	SFRP1	WNT2B	1	7
HS	SFRP1	WNT9A	1	7
HS	SFRP1	WNT9B	1	7
HS	SFRP1	WNT10A	1	7
HS	SFRP1	WNT5B	1	7
HS	SFRP1	WNT3A	1	7
HS	SFRP1	FZD10	1	7
HS	SFRP1	FZD2	1	7
HS	SFRP1	FZD5	1	7
HS	SFRP1	FZD3	1	7
HS	SFRP1	FZD1	1	7
HS	SFRP1	FZD4	1	7
HS	SFRP1	FZD6	1	7
HS	SFRP1	FZD7	1	7
HS	SFRP1	FZD8	1	7
HS	SFRP1	FZD9	1	7
HS	SFRP2	WNT16	1	7
HS	SFRP2	WNT4	1	7
HS	SFRP2	WNT1	1	7
HS	SFRP2	WNT2	1	7
HS	SFRP2	WNT3	1	7
HS	SFRP2	WNT5A	1	7
HS	SFRP2	WNT6	1	7
HS	SFRP2	WNT7A	1	7
HS	SFRP2	WNT7B	1	7
HS	SFRP2	WNT8A	1	7
HS	SFRP2	WNT8B	1	7
HS	SFRP2	WNT10B	1	7
HS	SFRP2	WNT11	1	7
HS	SFRP2	WNT2B	1	7
HS	SFRP2	WNT9A	1	7
HS	SFRP2	WNT9B	1	7
HS	SFRP2	WNT10A	1	7
HS	SFRP2	WNT5B	1	7
HS	SFRP2	WNT3A	1	7
HS	SFRP2	FZD10	1	7
HS	SFRP2	FZD2	1	7
HS	SFRP2	FZD5	1	7
HS	SFRP2	FZD3	1	7
HS	SFRP2	FZD1	1	7
HS	SFRP2	FZD4	1	7
HS	SFRP2	FZD6	1	7
HS	SFRP2	FZD7	1	7
HS	SFRP2	FZD8	1	7
HS	SFRP2	FZD9	1	7
HS	SFRP4	WNT16	1	7
HS	SFRP4	WNT4	1	7
HS	SFRP4	WNT1	1	7
HS	SFRP4	WNT2	1	7
HS	SFRP4	WNT3	1	7
HS	SFRP4	WNT5A	1	7
HS	SFRP4	WNT6	1	7
HS	SFRP4	WNT7A	1	7
HS	SFRP4	WNT7B	1	7
HS	SFRP4	WNT8A	1	7
HS	SFRP4	WNT8B	1	7
HS	SFRP4	WNT10B	1	7
HS	SFRP4	WNT11	1	7
HS	SFRP4	WNT2B	1	7
HS	SFRP4	WNT9A	1	7
HS	SFRP4	WNT9B	1	7
HS	SFRP4	WNT10A	1	7
HS	SFRP4	WNT5B	1	7
HS	SFRP4	WNT3A	1	7
HS	SFRP4	FZD10	1	7
HS	SFRP4	FZD2	1	7
HS	SFRP4	FZD5	1	7
HS	SFRP4	FZD3	1	7
HS	SFRP4	FZD1	1	7
HS	SFRP4	FZD4	1	7
HS	SFRP4	FZD6	1	7
HS	SFRP4	FZD7	1	7
HS	SFRP4	FZD8	1	7
HS	SFRP4	FZD9	1	7
HS	SFRP5	WNT16	1	7
HS	SFRP5	WNT4	1	7
HS	SFRP5	WNT1	1	7
HS	SFRP5	WNT2	1	7
HS	SFRP5	WNT3	1	7
HS	SFRP5	WNT5A	1	7
HS	SFRP5	WNT6	1	7
HS	SFRP5	WNT7A	1	7
HS	SFRP5	WNT7B	1	7
HS	SFRP5	WNT8A	1	7
HS	SFRP5	WNT8B	1	7
HS	SFRP5	WNT10B	1	7
HS	SFRP5	WNT11	1	7
HS	SFRP5	WNT2B	1	7
HS	SFRP5	WNT9A	1	7
HS	SFRP5	WNT9B	1	7
HS	SFRP5	WNT10A	1	7
HS	SFRP5	WNT5B	1	7
HS	SFRP5	WNT3A	1	7
HS	SFRP5	FZD10	1	7
HS	SFRP5	FZD2	1	7
HS	SFRP5	FZD5	1	7
HS	SFRP5	FZD3	1	7
HS	SFRP5	FZD1	1	7
HS	SFRP5	FZD4	1	7
HS	SFRP5	FZD6	1	7
HS	SFRP5	FZD7	1	7
HS	SFRP5	FZD8	1	7
HS	SFRP5	FZD9	1	7
HS	PORCN	WNT16	1	4
HS	PORCN	WNT4	1	4
HS	PORCN	WNT1	1	4
HS	PORCN	WNT2	1	4
HS	PORCN	WNT3	1	4
HS	PORCN	WNT5A	1	4
HS	PORCN	WNT6	1	4
HS	PORCN	WNT7A	1	4
HS	PORCN	WNT7B	1	4
HS	PORCN	WNT8A	1	4
HS	PORCN	WNT8B	1	4
HS	PORCN	WNT10B	1	4
HS	PORCN	WNT11	1	4
HS	PORCN	WNT2B	1	4
HS	PORCN	WNT9A	1	4
HS	PORCN	WNT9B	1	4
HS	PORCN	WNT10A	1	4
HS	PORCN	WNT5B	1	4
HS	PORCN	WNT3A	1	4
HS	WNT16	FZD10	1	4
HS	WNT16	FZD2	1	4
HS	WNT16	FZD5	1	4
HS	WNT16	FZD3	1	4
HS	WNT16	FZD1	1	4
HS	WNT16	FZD4	1	4
HS	WNT16	FZD6	1	4
HS	WNT16	FZD7	1	4
HS	WNT16	FZD8	1	4
HS	WNT16	FZD9	1	4
HS	WNT16	LRP6	1	4
HS	WNT16	LRP5	1	4
HS	WNT4	FZD10	1	4
HS	WNT4	FZD2	1	4
HS	WNT4	FZD5	1	4
HS	WNT4	FZD3	1	4
HS	WNT4	FZD1	1	4
HS	WNT4	FZD4	1	4
HS	WNT4	FZD6	1	4
HS	WNT4	FZD7	1	4
HS	WNT4	FZD8	1	4
HS	WNT4	FZD9	1	4
HS	WNT4	LRP6	1	4
HS	WNT4	LRP5	1	4
HS	WNT1	FZD10	1	4
HS	WNT1	FZD2	1	4
HS	WNT1	FZD5	1	4
HS	WNT1	FZD3	1	4
HS	WNT1	FZD1	1	4
HS	WNT1	FZD4	1	4
HS	WNT1	FZD6	1	4
HS	WNT1	FZD7	1	4
HS	WNT1	FZD8	1	4
HS	WNT1	FZD9	1	4
HS	WNT1	LRP6	1	4
HS	WNT1	LRP5	1	4
HS	WNT2	FZD10	1	4
HS	WNT2	FZD2	1	4
HS	WNT2	FZD5	1	4
HS	WNT2	FZD3	1	4
HS	WNT2	FZD1	1	4
HS	WNT2	FZD4	1	4
HS	WNT2	FZD6	1	4
HS	WNT2	FZD7	1	4
HS	WNT2	FZD8	1	4
HS	WNT2	FZD9	1	4
HS	WNT2	LRP6	1	4
HS	WNT2	LRP5	1	4
HS	WNT3	FZD10	1	4
HS	WNT3	FZD2	1	4
HS	WNT3	FZD5	1	4
HS	WNT3	FZD3	1	4
HS	WNT3	FZD1	1	4
HS	WNT3	FZD4	1	4
HS	WNT3	FZD6	1	4
HS	WNT3	FZD7	1	4
HS	WNT3	FZD8	1	4
HS	WNT3	FZD9	1	4
HS	WNT3	LRP6	1	4
HS	WNT3	LRP5	1	4
HS	WNT6	FZD10	1	4
HS	WNT6	FZD2	1	4
HS	WNT6	FZD5	1	4
HS	WNT6	FZD3	1	4
HS	WNT6	FZD1	1	4
HS	WNT6	FZD4	1	4
HS	WNT6	FZD6	1	4
HS	WNT6	FZD7	1	4
HS	WNT6	FZD8	1	4
HS	WNT6	FZD9	1	4
HS	WNT6	LRP6	1	4
HS	WNT6	LRP5	1	4
HS	WNT7A	FZD10	1	4
HS	WNT7A	FZD2	1	4
HS	WNT7A	FZD5	1	4
HS	WNT7A	FZD3	1	4
HS	WNT7A	FZD1	1	4
HS	WNT7A	FZD4	1	4
HS	WNT7A	FZD6	1	4
HS	WNT7A	FZD7	1	4
HS	WNT7A	FZD8	1	4
HS	WNT7A	FZD9	1	4
HS	WNT7A	LRP6	1	4
HS	WNT7A	LRP5	1	4
HS	WNT7B	FZD10	1	4
HS	WNT7B	FZD2	1	4
HS	WNT7B	FZD5	1	4
HS	WNT7B	FZD3	1	4
HS	WNT7B	FZD1	1	4
HS	WNT7B	FZD4	1	4
HS	WNT7B	FZD6	1	4
HS	WNT7B	FZD7	1	4
HS	WNT7B	FZD8	1	4
HS	WNT7B	FZD9	1	4
HS	WNT7B	LRP6	1	4
HS	WNT7B	LRP5	1	4
HS	WNT8A	FZD10	1	4
HS	WNT8A	FZD2	1	4
HS	WNT8A	FZD5	1	4
HS	WNT8A	FZD3	1	4
HS	WNT8A	FZD1	1	4
HS	WNT8A	FZD4	1	4
HS	WNT8A	FZD6	1	4
HS	WNT8A	FZD7	1	4
HS	WNT8A	FZD8	1	4
HS	WNT8A	FZD9	1	4
HS	WNT8A	LRP6	1	4
HS	WNT8A	LRP5	1	4
HS	WNT8B	FZD10	1	4
HS	WNT8B	FZD2	1	4
HS	WNT8B	FZD5	1	4
HS	WNT8B	FZD3	1	4
HS	WNT8B	FZD1	1	4
HS	WNT8B	FZD4	1	4
HS	WNT8B	FZD6	1	4
HS	WNT8B	FZD7	1	4
HS	WNT8B	FZD8	1	4
HS	WNT8B	FZD9	1	4
HS	WNT8B	LRP6	1	4
HS	WNT8B	LRP5	1	4
HS	WNT10B	FZD10	1	4
HS	WNT10B	FZD2	1	4
HS	WNT10B	FZD5	1	4
HS	WNT10B	FZD3	1	4
HS	WNT10B	FZD1	1	4
HS	WNT10B	FZD4	1	4
HS	WNT10B	FZD6	1	4
HS	WNT10B	FZD7	1	4
HS	WNT10B	FZD8	1	4
HS	WNT10B	FZD9	1	4
HS	WNT10B	LRP6	1	4
HS	WNT10B	LRP5	1	4
HS	WNT2B	FZD10	1	4
HS	WNT2B	FZD2	1	4
HS	WNT2B	FZD5	1	4
HS	WNT2B	FZD3	1	4
HS	WNT2B	FZD1	1	4
HS	WNT2B	FZD4	1	4
HS	WNT2B	FZD6	1	4
HS	WNT2B	FZD7	1	4
HS	WNT2B	FZD8	1	4
HS	WNT2B	FZD9	1	4
HS	WNT2B	LRP6	1	4
HS	WNT2B	LRP5	1	4
HS	WNT9A	FZD10	1	4
HS	WNT9A	FZD2	1	4
HS	WNT9A	FZD5	1	4
HS	WNT9A	FZD3	1	4
HS	WNT9A	FZD1	1	4
HS	WNT9A	FZD4	1	4
HS	WNT9A	FZD6	1	4
HS	WNT9A	FZD7	1	4
HS	WNT9A	FZD8	1	4
HS	WNT9A	FZD9	1	4
HS	WNT9A	LRP6	1	4
HS	WNT9A	LRP5	1	4
HS	WNT9B	FZD10	1	4
HS	WNT9B	FZD2	1	4
HS	WNT9B	FZD5	1	4
HS	WNT9B	FZD3	1	4
HS	WNT9B	FZD1	1	4
HS	WNT9B	FZD4	1	4
HS	WNT9B	FZD6	1	4
HS	WNT9B	FZD7	1	4
