ENT_6670,ENT_2099,0.917
ENT_367,ENT_6774,0.917
ENT_5970,ENT_1051,0.917
ENT_2908,ENT_4790,0.917
ENT_5970,ENT_2908,0.917
ENT_2113,ENT_1387,0.917
ENT_3065,ENT_4654,0.916
ENT_6667,ENT_4790,0.916
ENT_2114,ENT_1387,0.916
ENT_6667,ENT_5468,0.915
ENT_2308,ENT_2099,0.915
ENT_6778,ENT_1387,0.915
ENT_7157,ENT_4801,0.915
ENT_5468,ENT_2099,0.915
ENT_6667,ENT_1051,0.915
ENT_3065,ENT_1869,0.915
ENT_5970,ENT_6908,0.913
ENT_1051,ENT_5925,0.913
ENT_367,ENT_5925,0.913
ENT_1869,ENT_6908,0.913
ENT_6774,ENT_1387,0.913
ENT_2308,ENT_1387,0.913
ENT_4086,ENT_1387,0.913
ENT_7157,ENT_2908,0.913
ENT_4089,ENT_1051,0.911
ENT_1050,ENT_3065,0.911
ENT_1387,ENT_2908,0.911
ENT_1499,ENT_6927,0.911
ENT_6667,ENT_6774,0.911
ENT_3065,ENT_2908,0.909
ENT_4773,ENT_2353,0.899
ENT_2113,ENT_2308,0.899
ENT_4090,ENT_4089,0.891
ENT_468,ENT_1054,0.887
ENT_3065,ENT_467,0.881
ENT_2113,ENT_367,0.877
ENT_2113,ENT_4790,0.864
ENT_3065,ENT_1387,0.864
ENT_4609,ENT_6908,0.863
ENT_6774,ENT_4790,0.859
ENT_6777,ENT_6774,0.859
ENT_5970,ENT_6772,0.857
ENT_6772,ENT_6776,0.855
ENT_1499,ENT_3172,0.855
ENT_4609,ENT_3725,0.829
ENT_2113,ENT_3725,0.826
ENT_6667,ENT_1387,0.824
ENT_367,ENT_4086,0.819
ENT_5080,ENT_367,0.818
ENT_467,ENT_7157,0.817
ENT_3725,ENT_3091,0.812
ENT_3065,ENT_1051,0.812
ENT_2353,ENT_5925,0.812
ENT_3725,ENT_4654,0.812
ENT_3725,ENT_2908,0.812
ENT_2113,ENT_7157,0.812
ENT_1050,ENT_1386,0.812
ENT_1051,ENT_1958,0.812
ENT_7157,ENT_2099,0.812
ENT_367,ENT_7157,0.812
ENT_5970,ENT_3725,0.812
ENT_6777,ENT_2908,0.812
ENT_6667,ENT_3172,0.812
ENT_2308,ENT_367,0.812
ENT_3725,ENT_5925,0.812
ENT_6774,ENT_2908,0.812
ENT_4790,ENT_2099,0.812
ENT_1051,ENT_1386,0.812
ENT_3065,ENT_5468,0.812
ENT_5468,ENT_1387,0.812
ENT_5925,ENT_4654,0.812
ENT_6773,ENT_1387,0.812
ENT_2308,ENT_3172,0.812
ENT_6772,ENT_3659,0.812
ENT_1050,ENT_1051,0.812
ENT_367,ENT_3725,0.812
ENT_1385,ENT_3065,0.812
ENT_4773,ENT_1387,0.812
ENT_6776,ENT_2099,0.812
ENT_1385,ENT_2908,0.812
ENT_5970,ENT_2959,0.812
ENT_3065,ENT_3725,0.811
ENT_2959,ENT_2099,0.808
ENT_5925,ENT_1386,0.808
ENT_2353,ENT_1054,0.808
ENT_6667,ENT_4801,0.808
ENT_4609,ENT_1387,0.808
ENT_3170,ENT_3202,0.808
ENT_1050,ENT_2908,0.808
ENT_3725,ENT_2099,0.808
ENT_1050,ENT_5925,0.808
ENT_4208,ENT_4654,0.808
ENT_3091,ENT_6774,0.808
ENT_6908,ENT_2099,0.808
ENT_5970,ENT_4609,0.808
ENT_2962,ENT_367,0.808
ENT_2353,ENT_1387,0.806
ENT_1387,ENT_6927,0.806
ENT_6667,ENT_1958,0.806
ENT_5925,ENT_6908,0.8
ENT_467,ENT_468,0.8
ENT_1869,ENT_1387,0.798
ENT_467,ENT_3726,0.788
ENT_3725,ENT_2114,0.777
ENT_1054,ENT_1386,0.76
ENT_467,ENT_1386,0.758
ENT_1386,ENT_7528,0.741
ENT_3726,ENT_1386,0.717
ENT_467,ENT_3727,0.717
ENT_6934,ENT_1387,0.703
ENT_3065,ENT_5971,0.692
ENT_3065,ENT_5966,0.692
ENT_1387,ENT_6908,0.69
ENT_4205,ENT_6908,0.683
ENT_1050,ENT_1054,0.679
ENT_3727,ENT_6908,0.677
ENT_1050,ENT_2353,0.669
ENT_3725,ENT_2624,0.659
ENT_3065,ENT_4086,0.655
ENT_1385,ENT_1810,0.643
ENT_3065,ENT_4801,0.638
ENT_3725,ENT_6778,0.638
ENT_5970,ENT_1499,0.633
ENT_9464,ENT_9421,0.632
ENT_3065,ENT_6776,0.629
